timestamp,lyric
63000,quiet heart
63500,it's a
64000,quiet heart
65000,like a 
65500,car alarm
,hollow chest
,it's a
,hollow chest
,on a 
,solemn quest
,to bring
,a guest
,into your arms
,under
,a
,world of sound
,hold her
,and
,hold her
,under
,a
,world of sound
,I don't
,have to
,know
,under
,a
,world of sound
,hold her
,and
,hold her
,under
,a
,world of sound
,I don't
,have to
,know
,I'll
,make a
,choice
,and
,turn my head
,I turn in
,inside out
,I think
,you might be
,better off
,in the light 
,when you 
,turn your head
,to the side
,why do you cry
,it's a
,heart
,it's a
,quiet heart
,it's a
,quiet heart
,a quiet heart
,like a 
,car alarm
,under
,a
,world of sound
,I don't
,have to
,know
,under
,a
,world of sound
,hold her
,and
,hold her
,under
,a
,world of sound
